cell_id,make,V_top,V_bottom,V_plateau,dV_total,n_points_ocv,gitt_n_pulses,mean_pulse_duration_s,dV_per_sqrt_t,GITT_tau_diff_s,GITT_tau_n,DCIR_R0_mOhm,DCIR_R0_n,HPPC_R0_mOhm,HPPC_R0_n,HPPC_R1_mOhm,HPPC_R1_n,capacity_Ah,capacity_chg_Ah,coulombic_efficiency_pct,duration_h,rpt_n_discharge_segments,self_disch_dV_per_day,self_disch_dsoc_per_day,self_disch_rest_duration_h,n_cycles,soh_first,soh_last,fade_pct,monotone_frac
0004,EVE,3.3664482000000002,2.83007904,3.267831,0.53636916,70957.0,11.0,359.9100000000326,-0.0009243298760190419,843.9143101271634,73.0,1.1853825368004438,1.0,0.794400919888784,9.0,0.35265796619414075,7.0,103.8102821275011,103.6262915115589,100.24593240210224,35.182943055555555,7.0,,,,150,0.9572857022285461,0.9596475958824158,-0.2361893653869629,0.8791946308724832
0004,REPT,3.3281023,2.8267277,3.268164,0.5013745999999997,147286.0,103.0,360.05300000007264,-0.0012576665170621832,833.865254688996,218.0,0.9916087535980118,3.0,0.8103297007974006,18.0,0.23732640358707613,15.0,153.54791297066475,153.66461378741946,100.8605555248854,4451.324820833333,14.0,-0.002476868733656199,0.004953737467312398,172.25564527777777,205,0.6311933333333334,0.6268199999999999,0.4373333333333451,0.9215686274509803
0005,CALB,3.30946926,2.73655792,3.263938,0.5729113400000001,51379.0,1.0,154.34799999999998,-0.0128340606762768,,0.0,,,,,,,50.473158600180334,50.41733793463555,100.11071720132696,27.8694075,6.0,,,,386,0.7312916666666667,0.6959722222222222,3.531944444444446,0.8389610389610389
0005,EVE,3.3624957100000006,2.82498464,3.264604,0.5375110700000008,71130.0,96.0,360.0430000000051,-0.001334406321285784,843.6874775346962,124.0,1.7510006789631263,1.0,2.1038126101019565,9.0,0.30409712327422184,8.0,103.52206321882727,103.43778392156858,100.08275228488627,35.21774861111111,6.0,-0.003590850413962881,0.007181700827925762,172.52014666666668,64,0.9761333465576172,0.9667714238166809,0.9361922740936279,0.9365079365079365
0006,CALB,3.30655273,2.75034366,3.2656785,0.55620907,54494.0,74.0,359.99249999997846,-0.0008323177989666768,863.9476844341659,101.0,1.2546215404834729,1.0,1.1816240729489993,9.0,0.7750751854828148,8.0,53.60572878636223,53.572157625177205,178.24845266121275,27.155587777777775,8.0,,,,374,0.7451527777777778,0.6155416666666667,12.961111111111112,0.7855227882037533
0006,EVE,3.3638264700000007,2.8259002300000002,3.2659455,0.5379262400000004,71188.0,93.0,360.14299999998184,-0.0013305367815100303,847.4874827138441,95.0,1.4292996425690223,1.0,5.4466479099983705,9.0,0.2961226077484481,9.0,104.06447174219186,104.10255494031557,100.36450401846504,34.10248027777778,9.0,-0.003891072988185386,0.007782145976370772,172.52414916666663,47,0.9989809393882751,0.9934476017951965,0.5533337593078613,0.9782608695652174
0007,CALB,3.30566016,2.7369394000000002,3.260879,0.5687207599999997,51357.0,66.0,360.033500000005,-0.0008729771732079108,865.6552746769257,79.0,1.4103424775475983,1.0,1.377792257428839,9.0,0.7980175184728207,8.0,50.1266439845695,50.082756862166946,100.08762920644192,26.375183888888888,5.0,,,,402,0.6093333333333333,0.49491666666666667,11.441666666666661,0.6608478802992519
0007,EVE,3.36278216,2.82525664,3.26478,0.53752552,71187.0,93.0,360.11449999996694,-0.0012641575081799661,835.0162376440337,135.0,1.629827575098186,1.0,1.6190206089151802,9.0,0.37125327239289174,8.0,104.27341871840656,104.17269574521387,100.15578812393362,35.31823972222222,5.0,-0.003918763367584402,0.007837526735168803,172.52444333333332,46,0.9677428603172302,0.9576761722564697,1.0066688060760498,0.7777777777777778
0007,REPT,3.32317889,2.81789607,3.264158,0.5052828199999997,141442.0,99.0,360.0559999999823,-0.0012931217205314459,822.0449554266878,211.0,1.0643039470188074,3.0,1.0529788161065938,18.0,0.24784699975237573,16.0,148.17786732093504,148.226022908495,100.81335997543233,4449.888111111111,15.0,-0.003864383521500155,0.00772876704300031,172.23843055555554,205,0.9910666666666667,0.9652133333333334,2.5853333333333284,0.9950980392156863
0008,CALB,3.30653188,2.73309772,3.259194,0.5734341600000001,51893.0,58.0,360.0995000000112,-0.0009629401018372582,876.2968314756847,72.0,1.4370043268011419,1.0,1.370210246964805,9.0,0.7691125526463827,8.0,50.89758089608915,50.85256426261416,100.10443400116148,25.703499166666663,8.0,,,,402,0.6027361111111111,0.5399861111111111,6.275000000000008,0.7007481296758105
0008,EVE,3.3640974000000003,2.8264709199999998,3.265372,0.5376264800000006,71077.0,48.0,360.03100000001723,-0.001025048689466681,819.4789932595323,88.0,1.6460341895074768,1.0,1.7778948429030241,9.0,0.3768647103515476,8.0,104.01367755131805,103.93155180571391,157.82711469899874,35.29025472222222,6.0,-0.003203555368089349,0.006407110736178698,172.52393833333332,150,0.9534666538238525,0.9379809498786926,1.5485703945159912,0.825503355704698
0009,CALB,3.3111298,2.7356545,3.264646,0.5754752999999999,54802.0,69.0,359.98949999999604,-0.0008903355646657531,871.7745461186596,96.0,1.247750345481037,1.0,1.1223399115372596,9.0,0.6379473715995988,7.0,53.77512448283391,53.71456505983001,197.0424080350931,28.101464166666666,6.0,,,,402,0.7022222222222223,0.6490138888888889,5.320833333333342,0.8229426433915212
0010,CALB,3.3084684799999997,2.73857386,3.264438,0.5698946199999999,53163.0,72.0,359.9920000000275,-0.0008406495328687059,866.8087030933019,93.0,1.4153712493923107,1.0,1.3315934818051791,9.0,0.7237507362649627,8.0,52.57119068635863,52.5561502800975,100.30092081188613,27.710263333333334,6.0,,,,401,0.7660138888888889,0.7222916666666667,4.372222222222222,0.9675
0011,CALB,3.31414696,2.75236728,3.268539,0.5617796799999999,57815.0,75.0,360.04750000001513,-0.0008943381080657113,856.4049645463567,109.0,1.1637645707283013,1.0,1.02860913427913,9.0,0.6256370393433986,7.0,57.174901855706686,57.24696866840972,99.87411243882542,28.482317499999997,8.0,-0.00307330064138457,0.00614660128276914,169.31714416666665,402,0.7679027777777778,0.4592638888888889,30.86388888888889,0.7256857855361596
0011,REPT,3.3271211500000004,2.82517498,3.267653,0.5019461700000005,146428.0,103.0,360.0590000000084,-0.0012585321462564606,831.5630296591805,217.0,0.9774299875520264,3.0,0.8050371381892167,18.0,0.23024442332007755,15.0,153.28759986563838,153.42383078290996,159.567344622468,4449.714018055555,12.0,-0.0023731746366188367,0.004746349273237673,172.23852222222223,208,0.33180000000000004,0.9697133333333333,-63.791333333333334,0.9178743961352657
0012,CALB,3.3091450399999998,2.7348228999999997,3.260004,0.57432214,52278.0,68.0,360.1229999999923,-0.0009716592910461653,855.281863562973,91.0,1.3994454632528432,1.0,1.3010895213815097,9.0,0.7831915535468117,8.0,50.735309726451376,50.7405420822986,100.15350435626291,26.456142777777778,6.0,-0.002066629167791122,0.004133258335582244,169.31723555555556,402,0.5429999999999999,0.34627777777777774,19.672222222222217,0.6334164588528678
0012,REPT,3.32565086,2.8220584,3.267211,0.5035924600000001,143322.0,100.0,360.0560000000114,-0.0012709208643323757,831.2360590525352,212.0,0.9617764209169938,3.0,0.7644455089667582,18.0,0.22990797720736908,15.0,148.79039638745238,148.92835546064413,99.96724353064012,4450.743285833333,12.0,-0.002128036747658767,0.004256073495317534,172.2386125,210,0.6311933333333334,0.6297466666666667,0.14466666666667072,0.8851674641148325
0013,CALB,3.3054077200000003,2.7291375600000003,3.256446,0.57627016,50243.0,67.0,360.0235000000175,-0.0008633056999663118,870.2260375926548,76.0,1.5793412587936257,1.0,1.4540859104801245,9.0,0.793211895774556,8.0,49.02993288842221,48.95110687898194,100.16103008586741,26.01993333333333,7.0,-0.001701947545065365,0.00340389509013073,169.31856111111114,402,0.522625,0.4557083333333333,6.691666666666668,0.6483790523690773
0014,CALB,3.30389621,2.71198003,3.252744,0.5919161800000001,48058.0,60.0,360.0330000000067,-0.0009311483481297025,877.9451037227788,65.0,1.753132709020834,1.0,1.6653579608007967,9.0,0.8357312778989563,8.0,46.438011887608056,46.248928701152515,137.16080994879187,25.063683333333334,8.0,-0.0013050277023980827,0.0026100554047961654,169.3185133333333,402,0.5350138888888889,0.463125,7.188888888888889,0.7331670822942643
0015,CALB,3.3137985199999997,2.74663992,3.268204,0.5671586,56253.0,73.0,360.1909999999916,-0.0009055619445923811,879.3841362345379,104.0,1.2084526680343228,1.0,1.046561718450902,9.0,0.5965576942101939,7.0,56.04882823724138,56.08793450327722,100.23068900770906,28.956886666666666,9.0,-0.00453250664669322,0.00906501329338644,169.31873027777777,402,0.7952222222222223,0.7658472222222222,2.937500000000004,0.9850374064837906
